<<<<<<< HEAD
690,416
808,473
725,286
796,315
802,286
880,319
848,278
779,256
632,220
667,208
406,314
474,288
560,274
514,250
782,221
730,207
884,219
838,210
926,218
880,209
602,176
576,170
560,174
535,168
520,173
497,166
486,175
463,168
443,176
424,167
410,172
389,167
370,175
358,168
310,220
353,207
210,218
258,208
608,176
636,172
674,175
645,171
714,176
683,172
712,154
696,150
308,174
338,168
278,172
304,167
292,498
400,534
=======
690,416
808,473
725,286
796,315
802,286
880,319
848,278
779,256
632,220
667,208
406,314
474,288
560,274
514,250
782,221
730,207
884,219
838,210
926,218
880,209
602,176
576,170
560,174
535,168
520,173
497,166
486,175
463,168
443,176
424,167
410,172
389,167
370,175
358,168
310,220
353,207
210,218
258,208
608,176
636,172
674,175
645,171
714,176
683,172
712,154
696,150
308,174
338,168
278,172
304,167
292,498
400,534
>>>>>>> ba34fcc6b10f808adbb79bbf31433af76b00ad4c
